,acc.date,type,reg,operator,fat,location,dmg
129,29 Aug 2022,Boeing 717-2BD,N946AT,Delta Air Lines,0,"E of Detroit, MI",non
130,30 Aug 2022,Cessna 208B Grand Caravan EX,PK-SNW,Smart Cakrawala Aviation,0,Sinak Airport (NKD),sub
131,31 Aug 2022,Cessna 208B Grand Caravan EX,N208JM,Private,0,ca 1 km S of Abu Dhabi-Bateen Airport (AZI),w/o
132,1 Sep 2022,Boeing 737-824 (WL),N76529,United Airlines,0,"Denver International Airport, CO (DEN/KDEN)",non
133,2 Sep 2022,Airbus A320-251N,CS-TVI,TAP Air Portugal,0+2,Conakry-Gbessia International Airport (CKY),sub
134,2 Sep 2022,Antonov An-2R,RA-56534,2nd Arkhangelsk United Aviation Division,0,Nes,sub
135,3 Sep 2022,Shorts SC.7 Skyvan 3M-400,SP-HIP,SkyForce,2,2 km SSW of Piotrków Trybunalski-Bujny Airport,w/o
136,4 Sep 2022,Airbus A220-100,N113DQ,Delta Air Lines,0,"near New York-La Guardia Airport, NY (LGA/KLGA)",non
137,4 Sep 2022,Boeing 777-F1H,D-AALU,AeroLogic,0,Frankfurt International Airport (FRA/EDDF),non
138,4 Sep 2022,de Havilland Canada DHC-3T Turbine Otter,N725TH,Friday Harbor Seaplane Tours,10,"3 km SW off Freeland, WA",w/o
139,4 Sep 2022,Cessna 551 Citation II/SP,OE-FGR,GG Rent,4,37 km NW off Ventspils (Baltic Sea),w/o
140,7 Sep 2022,Cessna 750 Citation X,N15TZ,"BVS, Inc",0,"Phoenix-Mesa Gateway Airport, AZ (AZA)",sub
141,9 Sep 2022,Learjet 36,N26FN,Strategic Airborne Operations,0,"San Diego-North Island NAS, CA (NZY)",sub
142,9 Sep 2022,Cirrus SF50 Vision Jet,N77VJ,TAC9 Inc.,0,"10 km SSW of Kissimmee Gateway Airport, FL (ISM)",sub
143,10 Sep 2022,Antonov An-28,9S-GAX,TRACEP-Congo Aviation,3,13 km W of Bukavu-Kavumu Airport (BKY),w/o
144,10 Sep 2022,Cessna 208B Grand Caravan,PT-MES,Piquiatuba Táxi Aéreo,1,"near Porto Trombetas, PA",w/o
145,15 Sep 2022,Fairchild SA227-AC Metro III,XA-UMW,Aeronaves TSM,0,near Ramos Arizpe,sub
146,19 Sep 2022,Beechcraft 1900C-1,TN-AIQ,Equaflight Services,0,Pointe-Noire Agostinho-Neto International Airport (PNR),sub
147,20 Sep 2022,Dassault Falcon 2000,ZS-PKR,Pepkor Group,0,Pietermaritzburg Airport (PZB),sub
148,20 Sep 2022,Cessna 525B CitationJet CJ3,N528DV,Pacific Cataract & Laser Institute Inc Pc,0,"Pasco-Tri-Cities Airport, WA (PSC)",w/o
149,20 Sep 2022,British Aerospace 3201 Jetstream 32EP,OB-2152,SAETA Peru,1,El Estrecho Airport (SPEE),sub
150,21 Sep 2022,Britten Norman BN-2A-8 Islander,8R-GGT,Jags Aviation,0,Eteringbang Airport (SYET),sub
151,21 Sep 2022,Rockwell Sabreliner 65,XB-RXG,private,0,within Zulia,w/o
152,22 Sep 2022,Boeing 737-8HC (WL),TC-SOG,SunExpress,0,Köln/Bonn-Konrad Adenauer Airport (CGN/EDDK),sub
153,22 Sep 2022,Antonov An-2R,ST-AUE,Crop Protection Company,0,"Yassin, east Darfur",sub
154,24 Sep 2022,Boeing 737-436 (SF),EC-NLS,"Swiftair, opf West Atlantic (UK)",0,Montpellier-Méditerranée Airport (MPL),sub
155,25 Sep 2022,Boeing 737-8V3 (WL),HP-1539CMP,Copa Airlines,0,Panama City-Tocumen International Airport (PTY),sub
156,25 Sep 2022,Fokker 50,5Y-FAI,Freedom Airline Express,0,Nairobi-Jomo Kenyatta International Airport (NBO/HKJK),sub
157,27 Sep 2022,Cessna 550 Citation II,N409ST,ABS Equipment Leasing,0,"Waco-McGregor Executive Airport, TX (KPWG)",sub
158,28 Sep 2022,Boeing 757-256 (WL),TF-FIK,Icelandair Flugfélag Islands,0,London-Heathrow Airport (LHR),sub
159,28 Sep 2022,Boeing 777-3B5ER,HL7782,Korean Air,0,London-Heathrow Airport (LHR),sub
160,29 Sep 2022,Boeing 737-7CT (WL),N7881A,Southwest Airlines,0,"Denver International Airport, CO (DEN/KDEN)",non
161,1 Oct 2022,Boeing 737-8GJ (WL),F-GZHA,Transavia France,0,Nantes Atlantique Airport (NTE),sub
162,3 Oct 2022,Boeing 737-8Q3 (WL),JA07RK,Japan Transocean Air,0,near Miho Airport,non
163,3 Oct 2022,Embraer EMB-545 Legacy 450,N179SP,Partee Aviation LLC,0,"Houston-William P. Hobby Airport, TX (HOU)",sub
164,3 Oct 2022,Britten-Norman BN-2A-21 Islander,VH-WQA,Torres Strait Air,0,"Moa Island, Torres Strait",sub
165,5 Oct 2022,ATR 42-500,SX-EIT,Sky Express,0,Athens-Elefthérios Venizélos International Airport (ATH/LGAV),sub
166,12 Oct 2022,Honda HA-420 HondaJet,N704JT,Jupiter Aviation LLC,0,"West Michigan Regional Airport (BIV/KBIV), Holland, MI",sub
167,13 Oct 2022,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FDDX,True North Airways,0,"Lac PLuto, QC",w/o
168,13 Oct 2022,Cessna 208B Grand Caravan,OB-2228,SAETA Peru,0,near Jeberos,w/o
169,16 Oct 2022,Cirrus SF50 Vision Jet G2,HK-5342G,Panamerican Training Center - PTC,0+1,Santa Marta-Simón Bolívar Airport (SMR),sub
170,18 Oct 2022,Beechcraft 99 Airliner,C6-OFM,Flamingo Air Charter,0,Black Point Airstrip (MYEB),sub
171,19 Oct 2022,de Havilland Canada DHC-8-314 Dash 8,C-GJYZ,Perimeter Aviation,0,"Sandy Lake Airport, ON (ZSJ)",sub
172,22 Oct 2022,Boeing 737-8AS (WL),EI-EKJ,Ryanair,0,Agadir-Al Massira International Airport (AGA/GMAA),non
173,23 Oct 2022,Airbus A330-322,HL7525,Korean Air,0,Mactan-Cebu International Airport (CEB),sub
174,25 Oct 2022,Cessna 208B Grand Caravan,PK-RVA,Reven Global Transpor,0,Ilaga Airport (ILA/WABL),sub
175,27 Oct 2022,Canadair CL-215-6B11 (CL-415),I-DPCN,Vigili del Fuoco,2,"near Linguaglossa, Sicily",w/o
176,28 Oct 2022,Embraer EMB-110C Bandeirante,FAU-583,Fuerza Aérea Uruguaya - FAU,0,Montevideo-Carrasco Airport (MVD),sub
177,2 Nov 2022,Airbus A319-132,N519NK,Spirit Airlines,0,"near New Orleans, LA",non
178,3 Nov 2022,Eclipse 550,N150NE,Elite Flight Travel,0,"Mesa-Falcon Field, AZ (MSC)",sub
179,3 Nov 2022,Let L-410UVP-E20,9S-GPK,Goma Express,3,c 115 km ESE of Kasese,w/o
180,6 Nov 2022,Cessna 208B Grand Caravan,AMB 0956,Aviación Militar Bolivariana,5,3 km from Puerto Ayacucho Airport (PYH),w/o
181,6 Nov 2022,ATR 42-500,5H-PWF,Precision Air,19,off Bukoba Airport (BKZ),sub
182,7 Nov 2022,ATR 72-600 (72-212A),JA06JC,Japan Air Commuter,0,Kagoshima Airport (KOJ/RJFK),non
183,9 Nov 2022,Boeing 737-7H4 (WL),N963WN,Southwest Airlines,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub
184,9 Nov 2022,Boeing 737-823 (WL),N909NN,American Airlines,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub
185,10 Nov 2022,Boeing 737 MAX 8,N316SE,American Airlines,0,"SE of Miami, FL",non
186,12 Nov 2022,Boeing B-17G Flying Fortress,N7227C,American Airpower Heritage Museum,5+1,"Dallas Executive Airport, TX (RBD/KRBD)",w/o
187,14 Nov 2022,Antonov An-2,CU-A1885,Risk Mondial Aviation & Recovery,0,"W of Miami-Dade County, FL",sub
188,15 Nov 2022,Honda HA-420 HondaJet,N789RJ,Andersen Air LLC,0,"Salt Lake City International Airport, UT (SLC)",sub
189,15 Nov 2022,Fairchild SA227-AT Expediter,N247DH,Ameriflight,0,"Pewaukee, WI",sub
190,17 Nov 2022,Embraer EMB-110P1 Bandeirante,C6-CAB,LeAir Charter Services,0,Nassau-Lynden Pindling International Airport (NAS/MYNN),min
191,17 Nov 2022,Beechcraft 1900D,VH-NYA,Penjet Pty Ltd,0,"Fortnum Airport (YFOR), Fortnum, WA",sub
192,18 Nov 2022,Airbus A320-271N,CC-BHB,LATAM Perú,0+2,Lima-Jorge Chávez International Airport (LIM),w/o
193,18 Nov 2022,Cessna 208B Grand Caravan EX,N2069B,Raisbeck Engineering,4,"near Snohomish, WA",w/o
194,19 Nov 2022,Airbus A320-211,N330NW,Delta Air Lines,0,"near Omaha-Eppley Airfield (OMA/KOMA), Omaha, NE",sub
195,20 Nov 2022,Boeing 737-4Q8 (SF),TF-BBM,"Bluebird Cargo, opf ASL Airlines Belgium",0,Paris-Charles de Gaulle Airport (CDG),sub
196,25 Nov 2022,Cirrus SF50 Vision Jet G2,N15VJ,Verijet,0,"1,6 km SW of Indianapolis Regional Airport, IN",sub
197,28 Nov 2022,Airbus A330-243,PR-AIY,Azul Linhas Aéreas Brasileiras,0,"near Manaus, AM",non
198,29 Nov 2022,Boeing 737-7H4 (WL),N946WN,Southwest Airlines,0,"near Denver, CO",non
199,29 Nov 2022,Learjet 45,N988MC,Jett Aircraft,0,"Batesville Regional Airport, AR (BVX)",sub
200,30 Nov 2022,Learjet 36,N12FN,Aery Aviation,0,"Newport News/Williamsburg International Airport, VA (PHF)",sub
201,1 Dec 2022,Learjet 35A,N979RF,"REVA, Inc.",0,Guantánamo Naval Air Station (NBW),sub
202,3 Dec 2022,Embraer ERJ-175LR,N85356,Mesa Airlines,0,"Taneytown, MD",non
203,7 Dec 2022,British Aerospace BAe-146-200,CC-ACO,Antarctic Airways,0,Iquique-Diego Aracena International Airport (IQQ/SCDA),sub
204,8 Dec 2022,Boeing 767-322ER (WL),N649UA,United Airlines,0,"near Albany, NJ",non
205,15 Dec 2022,Swearingen SA226-TC Metro II,N398KL,Key Lime Air,0,"Wichita Dwight D. Eisenhower National Airport, KS (ICT)",sub
206,17 Dec 2022,de Havilland Canada DHC-8-402QPF Dash 8,5Y-VVY,Blue Bird Aviation,0,Abudwak Airstrip,sub
207,18 Dec 2022,Airbus A330-243,N393HA,Hawaiian Airlines,0,"65 nm NNE of Maui, HI",min
208,18 Dec 2022,Boeing 737-824 (WL),N87531,United Airlines,0,"near Cobán, Alta Verapaz",non
209,22 Dec 2022,Boeing 787-9 Dreamliner,C-FVNF,Air Canada,0,45 nm E of Tokyo-Narita Airport (NRT/RJAA),unk
210,23 Dec 2022,de Havilland Canada DHC-6 Twin Otter 300,PK-OTY,Rimbun Air,0,Moanemani Airport (ONI),sub
211,24 Dec 2022,Gulfstream GIV-X (G450),N456FX,Flexjet LLC,0,"Miami, Florida",non
212,26 Dec 2022,Boeing 737-860 (WL),ET-APL,Ethiopian Airlines,0,Mogadishu Aden Adde International Airport (MGQ/HCMM),sub
213,26 Dec 2022,Boeing 737 MAX 8-200,EI-HEY,Ryanair,0,Bremen Airport (BRE/EDDW),non
